Stations,Latitude,Longitude,Altitude,Country,City,Camera,Switch,Status,Last seen
ATWI01,48.20525,16.359753,180,Austria,Wien,DMK 23G445,TL-SG2210P,Operational,29/01/2021 16:31
AUPE01,-32.007267,115.894755,30,Australia,Perth,DMK 23G445,TL-SG2210P,Pending,31/07/2020 12:00
AUPE02,-31.356003,115.712472,55,Australia,Zadko,DMK 23G445,TL-SG2210P,Pending,31/07/2020 12:00
BEBR01,50.79672778,4.357075,114,Belgium,Bruxelles,DMK 23G445,TL-SG2210P,Operational,28/01/2021 05:50
BEVL01,-999.9,-999.9,-999.9,Belgium,Antwerpen,BASLER1300gm,Unknown,NotOperational,15/05/2022 18:19
BEVL02,-999.9,-999.9,-999.9,Belgium,Genk,BASLER1300gm,Unknown,NotOperational,15/05/2022 18:19
BEVL03,-999.9,-999.9,-999.9,Belgium,Oostende,BASLER1300gm,Unknown,NotOperational,15/05/2022 18:19
BEVL04,-999.9,-999.9,-999.9,Belgium,Grimbergen,BASLER1300gm,Unknown,NotOperational,15/05/2022 18:19
BEWA01,50.582574,5.566677,240,Belgium,Liege,BASLER 1300gm,TL-SG2210P,Operational,25/01/2021 21:07
BEWA02,50.46606,4.858429,90,Belgium,Namur,BASLER1300gm,Unknown,Operational,15/05/2022 18:19
BEWA03,-999.9,-999.9,-999.9,Belgium,Spa,BASLER1300gm,Unknown,NotOperational,15/05/2022 18:19
BEWA04,-999.9,-999.9,-999.9,Belgium,Neufchateau,BASLER1300gm,Unknown,NotOperational,15/05/2022 18:19
BFCO01,12.237871,-2.401645,300,Burkina Faso,Koudougou,BASLER1300gm,Unknown,Operational,15/05/2022 18:19
BFCT01,12.37768118,-1.497630433,300,Burkina Faso,Ouagadougo,BASLER1300gm,Unknown,Operational,15/05/2022 18:19
BFES01,12.107821,0.345136,300,Burkina Faso,FadaNGourma,BASLER1300gm,Unknown,Operational,15/05/2022 18:19
BFHB01,11.166597,-4.306069,300,Burkina Faso,BoboDioulasso,BASLER1300gm,Unknown,Operational,15/05/2022 18:19
BFSO01,10.315942,-3.15501,300,Burkina Faso,Gaoua,BASLER1300gm,Unknown,Operational,15/05/2022 18:19
BRRJ01,-22.8955612,-43.223311,50,Brazil,RiodeJaneiro,DMK 23G445,DG-108PE,Production,31/07/2020 12:00
CAQC01,45.560745,-73.550401,30,Canada,Montreal,BASLER 1300gm,T1500G-10PS,Operational,28/01/2021 22:48
CAQC02,45.49474,-72.309397,220,Canada,ValSaintFrancois,BASLER 1300gm,T1500G-10PS,NotOperational,31/07/2020 12:00
CAQC03,46.249248,-72.949033,0,Canada,Louiseville,BASLER 1300gm,T1500G-10PS,NotOperational,31/07/2020 12:00
CAQC04,45.66037,-74.937772,70,Canada,Montebello,BASLER 1300gm,T1500G-10PS,Operational,29/01/2021 09:39
CAQC05,45.455704,-71.152584,1110,Canada,ObservatoireMontMegantic,BASLER 1300gm,T1500G-10PS,Production,31/07/2020 12:00
CAQC06,46.030661,-74.207167,327,Canada,ValDavid,BASLER 1300gm,T1500G-10PS,NotOperational,31/07/2020 12:00
CAQC08,45.051744,-72.83282,112,Canada,Frelighsburg,None,TL-SG2210P,NotOperational,31/07/2020 12:00
CAQC09,46.1263972,-70.6699967,271,Canada,SaintGeorges,BASLER1300gm,Unknown,Operational,15/05/2022 18:19
CAWO01,-999.9,-999.9,-999.9,Canada,Londonontario,DMK 23G445,DG-108PE,NotOperational,31/07/2020 12:00
CHJU01,47.351819,7.420632,600,Switzerland,Vicques,DMK 23G445,TL-SG2210P,Operational,26/01/2021 16:58
CHVA01,46.22834718,7.61258349,2200,Switzerland,SaintLuc,BASLER 1300gm,T1500G-10PS,Production,31/07/2020 12:00
